1.
~$ ps aux
USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1880  0.0  0.8 628752 35160 ?        Sl   08:07   0:00 /usr/lib/x86_64
clarentz  1891  0.0  0.2 352096  8532 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1902  0.0  1.2 883096 49876 ?        Sl   08:07   0:00 /usr/lib/evolut
clarentz  1914  0.0  0.4 692132 18184 ?        Sl   08:07   0:00 /usr/lib/evolut
clarentz  1916  0.0  1.3 1064088 53748 ?       Sl   08:07   0:00 /usr/lib/evolut
clarentz  1933  0.0  0.4 767632 18444 ?        Sl   08:07   0:00 /usr/lib/evolut
clarentz  1944  0.0  0.1 187636  5532 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
clarentz  1999  0.0  0.2 354464  8848 ?        Sl   08:07   0:00 /usr/lib/gvfs/g
root      2025  0.0  0.0  14348  2816 ?        Ss   08:08   0:00 /sbin/mount.ntf
clarentz  2048  0.0  0.2 363248  8600 ?        Sl   08:08   0:00 /usr/lib/gvfs/g
clarentz  2053  0.0  0.4 576676 17196 ?        Sl   08:08   0:00 zeitgeist-datah
clarentz  2060  0.0  0.0   4508   772 ?        S    08:08   0:00 /bin/sh -c /usr
clarentz  2064  0.0  0.1 410220  7312 ?        Sl   08:08   0:00 /usr/bin/zeitge
clarentz  2071  0.0  0.3 317188 14916 ?        Sl   08:08   0:00 /usr/lib/x86_64
clarentz  2164  0.0  0.6 518292 27332 ?        Sl   08:08   0:00 update-notifier
clarentz  2198  0.0  0.1 436972  6976 ?        Sl   08:09   0:00 /usr/lib/x86_64
root      2221  0.0  0.0  13952  2496 ?        Ss   08:10   0:00 /sbin/mount.ntf
clarentz  2278 45.8 30.4 2281132 1206104 ?     Rl   08:12   8:30 /usr/lib/firefo
clarentz  2307  0.0  0.1  62828  5324 ?        S    08:12   0:00 /usr/lib/x86_64
root      2384  0.0  0.0      0     0 ?        S    08:14   0:00 [kworker/u8:1]
root      2385  0.0  0.0      0     0 ?        S    08:14   0:00 [kworker/1:0]
root      2462  0.0  0.0      0     0 ?        S    08:17   0:00 [kworker/2:0]
clarentz  2487  0.3  1.6 1050668 66088 ?       Sl   08:19   0:02 evince /media/c
clarentz  2494  0.0  0.1 178496  4004 ?        Sl   08:19   0:00 /usr/lib/evince
root      2567  0.0  0.0      0     0 ?        S    08:22   0:00 [kworker/2:1]
root      2595  0.0  0.0      0     0 ?        S    08:22   0:00 [kworker/0:1]
root      2611  0.0  0.0      0     0 ?        S    08:23   0:00 [kworker/3:0]
clarentz  2621  0.1  1.6 1020064 65320 ?       Sl   08:25   0:00 unity-control-c
root      2650  0.0  0.0      0     0 ?        S    08:26   0:00 [kworker/u8:2]
clarentz  2657  0.0  0.7 481144 29624 ?        Sl   08:27   0:00 /usr/lib/x86_64
root      2666  0.0  0.0      0     0 ?        S    08:27   0:00 [kworker/2:2]
root      2667  0.0  0.0      0     0 ?        S    08:27   0:00 [kworker/0:2]
root      2671  0.0  0.0      0     0 ?        S    08:27   0:00 [kworker/1:1]
root      2687  0.0  0.0      0     0 ?        S    08:29   0:00 [kworker/3:2]
clarentz  2689  0.6  0.9 649552 35960 ?        Sl   08:29   0:00 gedit /media/cl
clarentz  2733  2.6  0.9 653860 36528 ?        Rl   08:30   0:00 /usr/lib/gnome-
clarentz  2740  0.5  0.1  24068  5032 pts/0    Ss   08:30   0:00 bash
clarentz  2750  0.0  0.0  38892  3196 pts/0    R+   08:30   0:00 ps aux

2.
~$ gnome-calculator

** (gnome-calculator:2810): WARNING **: currency.vala:407: Currency LTL is not provided by IMF or ECB

3.
~$ ps -e | grep gnome-calculato
 3486 pts/0    00:00:00 gnome-calculato

4.

